6/3/2024 2:30:18 PM - Event ID: 1, Message: In OnStart.
6/3/2024 2:31:17 PM - Event ID: 1, Message: In OnStop.
6/3/2024 2:31:25 PM - Event ID: 1, Message: In OnStart.
6/3/2024 2:32:25 PM - Event ID: 1, Message: Monitoring the System
6/3/2024 2:33:25 PM - Event ID: 2, Message: Monitoring the System
6/3/2024 2:34:25 PM - Event ID: 3, Message: Monitoring the System
6/3/2024 2:35:25 PM - Event ID: 4, Message: Monitoring the System
6/3/2024 2:36:25 PM - Event ID: 5, Message: Monitoring the System
6/3/2024 2:37:25 PM - Event ID: 6, Message: Monitoring the System
6/3/2024 2:38:25 PM - Event ID: 7, Message: Monitoring the System
6/3/2024 2:39:25 PM - Event ID: 8, Message: Monitoring the System
6/3/2024 2:40:25 PM - Event ID: 9, Message: Monitoring the System
6/3/2024 2:41:25 PM - Event ID: 10, Message: Monitoring the System
6/3/2024 2:42:25 PM - Event ID: 11, Message: Monitoring the System
6/3/2024 2:43:03 PM - Event ID: 1, Message: In OnStop.
6/3/2024 2:56:22 PM - Event ID: 1, Message: In OnStart.
6/3/2024 2:57:22 PM - Event ID: 1, Message: Monitoring the System
6/3/2024 2:58:22 PM - Event ID: 2, Message: Monitoring the System
6/3/2024 2:59:22 PM - Event ID: 3, Message: Monitoring the System
6/3/2024 3:00:22 PM - Event ID: 4, Message: Monitoring the System
6/3/2024 3:01:22 PM - Event ID: 5, Message: Monitoring the System
6/3/2024 3:02:22 PM - Event ID: 6, Message: Monitoring the System
6/3/2024 3:03:22 PM - Event ID: 7, Message: Monitoring the System
6/3/2024 3:04:22 PM - Event ID: 8, Message: Monitoring the System
6/3/2024 3:05:22 PM - Event ID: 9, Message: Monitoring the System
6/3/2024 3:06:22 PM - Event ID: 10, Message: Monitoring the System
6/3/2024 3:07:22 PM - Event ID: 11, Message: Monitoring the System
6/3/2024 3:08:22 PM - Event ID: 12, Message: Monitoring the System
6/3/2024 3:09:22 PM - Event ID: 13, Message: Monitoring the System
6/3/2024 3:10:22 PM - Event ID: 14, Message: Monitoring the System
6/3/2024 3:11:22 PM - Event ID: 15, Message: Monitoring the System
6/3/2024 3:12:22 PM - Event ID: 16, Message: Monitoring the System
6/3/2024 3:13:22 PM - Event ID: 17, Message: Monitoring the System
6/3/2024 3:14:23 PM - Event ID: 18, Message: Monitoring the System
6/3/2024 3:14:28 PM - Event ID: 1, Message: In OnStop.
